,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
289,782,5288,Dr Amara Leffler,Mr,Male,4,Single,31,2020-03-11,,Active,,,,Labour,Contarct Basis,Catholic,Unskilled Labor,2000.0
290,783,4187,Kassandra Gerlach,Mr,Male,3,Single,31,2019-01-01,2022-01-09,Inactive,2022-01-09,,,Labour,Contarct Basis,Hindu,Unskilled Labor,2000.0
291,784,4189,Dale Kuhn,Mr,Male,3,Married,31,2019-01-01,2021-05-31,Inactive,2021-05-31,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1954.0
292,785,4277,Dr Garth Gerlach,Mr,Male,3,Married,31,2019-01-01,,Inactive,2020-03-07,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1976.0
293,788,4291,Mr Garrett Bernier,Mr,Male,4,Married,31,2019-01-01,2021-05-31,Inactive,2021-05-31,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1961.0
294,789,4372,Alexandrea Cormier V,Mr,Male,3,Single,31,2019-01-01,,Inactive,2020-03-06,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1996.0
295,791,4593,Porter Renner,Mr,Male,4,Single,31,2019-02-01,,Inactive,2021-02-28,,,Labour,Contarct Basis,Catholic,Unskilled Labor,2000.0
296,794,70036,Jennyfer Waelchi III,Mr,Male,4,Married,31,2019-07-01,,Inactive,2019-12-31,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1966.0
297,796,4805,Gustave Balistreri Sr,Mr,Male,3,Single,31,2019-06-01,,Inactive,2020-07-31,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1995.0
298,798,4443,Wilfrid Smitham,Mr,Male,1,Married,31,2018-12-15,2021-08-20,Inactive,2021-08-20,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0
299,799,4444,Gage Deckow III,Mr,Male,1,Married,31,2019-01-01,,Inactive,2020-07-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968.0
300,801,4506,Amber Mitchell,Mr,Male,1,Single,31,2019-09-01,2021-09-21,Inactive,2021-09-21,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983.0
301,802,4786,Dr Cristal Collier Jr,Mr,Male,1,Married,1,2019-06-01,,Inactive,2020-07-26,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1980.0
302,803,75112,Mozell Cremin,Mr,Male,1,Married,31,2019-10-27,,Inactive,2020-05-21,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992.0
303,805,5171,Dave DuBuque DDS,Mr,Male,1,Married,31,2021-02-01,2021-04-22,Inactive,2021-04-22,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995.0
304,806,5172,Pinkie Harber,Mr,Male,1,Single,31,2021-02-01,2021-04-22,Inactive,2021-04-22,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0
305,808,4972,Katelyn Mitchell,Mr,Male,3,Single,122,2020-06-01,,Active,,,,Labour,Contarct Basis,Hindu,Security,1985.0
306,809,4973,Libbie Price PhD,Mr,Male,3,Married,31,2019-07-01,2022-10-09,Inactive,2022-10-09,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1978.0
307,810,5140,Elza Bode,Mr,Male,3,Married,31,2019-07-01,2021-08-20,Inactive,2021-08-20,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1960.0
308,811,70021,Miss Libby Dibbert,Mr,Male,4,Married,31,2019-07-01,,Active,,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1966.0
309,812,70022,Sarina Weber,Mr,Male,4,Married,1,2019-07-01,,Inactive,2020-06-13,,,Labour,Contarct Basis,Catholic,Skilled Labor,1992.0
310,813,199061,Sherwood Padberg,Mr,Male,1,Married,30,2020-12-10,2021-12-24,Inactive,2021-12-24,,,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1975.0
311,814,70041,Dr Noble Bruen,Mr,Male,3,Married,122,2019-07-01,,Inactive,2020-12-31,,,Labour,Contarct Basis,Hindu,Security,1981.0
312,816,5143,Connie Murazik,Mr,Male,3,Single,31,2019-08-01,2021-08-21,Inactive,2021-08-21,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1998.0
313,817,199042,Gerda Hoppe,Mr,Male,3,Single,30,2019-10-18,,Inactive,2020-12-31,,,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1998.0
314,823,5068,Nolan Mann,Mr,Male,3,Married,31,2020-02-11,2020-12-25,Inactive,2020-12-25,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1972.0
315,825,195010,Prof Jayden Vandervort PhD,Mr,Male,3,Married,31,2020-02-13,,Inactive,2020-03-08,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1975.0
316,826,195011,Miss Fabiola Morissette,Mr,Male,4,Single,31,2020-02-11,,Active,,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1996.0
317,827,70152,Lowell Lang,Mr,Male,3,Married,30,2019-09-06,,Inactive,2020-05-18,,,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1974.0
318,828,4980,Abigayle Deckow,Mr,Male,3,Married,31,2020-06-01,,Active,,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1981.0
319,829,75186,Lexie Wunsch,Mr,Male,3,Married,122,2019-11-06,2022-01-31,Inactive,2022-01-31,,,Labour,Contarct Basis,Hindu,Security,1973.0
320,830,199011,Kiley Deckow,Mr,Male,3,Single,122,2020-02-10,2022-06-30,Inactive,2022-06-30,,,Labour,Contarct Basis,Hindu,Security,1993.0
321,832,4795,Bella Rosenbaum,Mr,Male,1,Married,55,2019-01-06,2022-02-19,Inactive,2022-02-19,,,Labour,Contarct Basis,Buddhist,Fitter,1970.0
322,837,189003,Lauren Cassin,Mr,Male,1,Single,31,2020-01-13,,Inactive,2020-06-03,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996.0
323,838,189037,Chloe Hammes III,Mr,Male,1,Married,31,2020-06-10,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1994.0
324,839,5059,Elwin Luettgen,Mr,Male,1,Married,31,2020-02-21,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997.0
325,841,3293,Evangeline Cummings,Mr,Male,4,Married,31,2019-01-01,,Inactive,2020-12-31,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1976.0
326,845,199001,Della Tremblay,Mr,Male,3,Single,31,2020-01-02,,Inactive,2020-05-31,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1997.0
327,848,200013,Joannie Shields,Mr,Male,1,Married,1,2020-12-03,2022-03-21,Inactive,2022-03-21,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1982.0
328,850,70073,Jewell Bogisich,Mr,Male,1,Single,30,2019-08-01,,Inactive,2020-03-31,,,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1993.0
329,852,70147,Amos Cremin IV,Mr,Male,4,Married,122,2019-09-01,,Active,,,,Labour,Contarct Basis,Catholic,Security,1973.0
330,853,70149,Raymundo Ortiz,Mr,Male,3,Married,30,2019-09-05,,Inactive,2020-12-31,,,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1982.0
